Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,balance_score
rf,0.8505639097744361,0.8359533181782031,0.8505639097744361,0.8303688120600955,0.8552238634536307,0.8432586139763196
svm,0.8468045112781954,0.8304535114143493,0.8468045112781954,0.827819599433295,,0.8386290113462724
mlp,0.8383458646616542,0.8203669599098962,0.8383458646616542,0.8072169925104419,0.851462176380051,0.8293564122857752
logistic,0.825187969924812,0.7982276208503007,0.825187969924812,0.7977274936835779,0.8280305988835541,0.8117077953875564
